demand_id,demand_lat,demand_lon,Demand_received,Demand_reached,Demand_completed,Car_station,Call_type,Car_lat,Car_lon,DriveDistance,DriveTime
1,38.72611044,-9.148582723,08-09-2024 17:46,08-09-2024 18:18,08-09-2024 18:54,302,3,38.7703089,-9.152437266,4930.817188,5.916980626
2,38.740174,-9.136456405,10-23-2024 08:33,10-23-2024 08:38,10-23-2024 09:28,304,2,38.7760124,-9.149431291,4236.041635,5.083249962
3,38.7694261,-9.093146785,11-28-2024 20:09,11-28-2024 20:16,11-28-2024 21:01,305,3,38.7450061,-9.11699815,3793.771745,4.552526094
4,38.7629378,-9.174400674,07-28-2024 11:36,07-28-2024 11:59,07-28-2024 12:20,302,3,38.7048594,-9.195044237,6850.39848,8.220478176
5,38.7195711,-9.118926525,09-22-2024 13:30,09-22-2024 13:49,09-22-2024 14:38,302,2,38.7045187,-9.10511516,2270.41649,2.724499788
6,38.7373373,-9.155403522,11-11-2024 15:58,11-11-2024 16:44,11-11-2024 17:21,302,1,38.7844475,-9.133306063,5783.14714,6.939776568
7,38.7350345,-9.116816642,09-28-2024 00:51,09-28-2024 01:34,09-28-2024 01:43,304,3,38.7109859,-9.127567513,2927.656078,3.513187294
8,38.7687845,-9.114789093,09-22-2024 15:49,09-22-2024 16:42,09-22-2024 17:29,300,1,38.7090187,-9.11031197,6660.922422,7.993106906
9,38.7753023,-9.179517154,09-11-2024 15:38,09-11-2024 16:24,09-11-2024 17:10,300,1,38.776523,-9.161278792,2031.528374,2.437834049
10,38.7534177,-9.103119646,08-28-2024 04:30,08-28-2024 05:18,08-28-2024 05:59,300,1,38.7196555,-9.192220173,10589.62233,12.70754679
11,38.7837646,-9.092580016,01-15-2024 22:12,01-15-2024 23:00,01-15-2024 23:46,305,3,38.7775792,-9.136230447,4899.729293,5.879675152
12,38.7351,-9.178358489,09-21-2024 08:33,09-21-2024 09:14,09-21-2024 09:39,302,3,38.7165995,-9.165251627,2519.838378,3.023806053
13,38.7444623,-9.137775503,04-24-2024 11:32,04-24-2024 12:16,04-24-2024 12:23,304,2,38.7165499,-9.091304058,6024.817691,7.22978123
14,38.7867169,-9.171603788,11-07-2024 13:59,11-07-2024 14:30,11-07-2024 14:57,304,1,38.7524844,-9.095566982,9267.593211,11.12111185
15,38.7024678,-9.099593511,01-17-2024 12:53,01-17-2024 13:38,01-17-2024 14:13,301,3,38.761415,-9.147628536,8451.049326,10.14125919
16,38.7074601,-9.139863167,11-10-2024 01:32,11-10-2024 01:43,11-10-2024 01:59,302,2,38.7173007,-9.094403589,5169.350329,6.203220395
